Constant,ObservedTotal,ExpectedTotal,StdTotal
Golden Ratio,4174,4175.082,63.74125611112361
Phi Squared,183,183.215,13.523481748459508
Pi,44,43.545,6.596285782457672
Two Pi,4,4.0600000000000005,2.005090311173864
Euler’s Number,69,68.896,8.296163915112935
Euler–Mascheroni Constant,4653,4650.963,67.29780694352719
Square Root of 2,701,702.2239999999999,26.425486188404896
Square Root of 3,289,289.30600000000004,16.958195545668698
Square Root of 5,108,108.296,10.386420294408948
Golden Ratio Conjugate,7208,7204.988,83.0695020117315
Plastic Constant,1586,1584.752,39.611691033019696
Apéry’s Constant (zeta(3)),5230,5224.533,71.01355672069842
Catalan’s Constant,11564,11557.347000000002,103.54548571909231
Feigenbaum Delta,23,22.938,4.78502449640466
Feigenbaum Alpha,113,112.94800000000001,10.626311747629003
Khinchin’s Constant,191,191.136,13.83356665983542
Planck Length (m),1419,1415.974,37.43556024972792
Planck Time (s),1419,1415.974,37.43556024972792
Planck Mass (kg),1419,1415.974,37.43556024972792
Planck Charge (C),1419,1415.974,37.43556024972792
Planck Temperature (K),0,0.0,0.0
Absolute Zero (K),1419,1415.974,37.43556024972792
Cosmic Microwave Background Temp (K),64,63.834,7.9890143735351025
Boltzmann Constant (J/K),1419,1415.974,37.43556024972792
Avogadro Constant (1/mol),0,0.0,0.0
Gas Constant R (J/(mol·K)),2,2.045,1.4317179886704534
Fine-Structure Constant,1362,1359.538,36.697217262948385
Gravitational Constant (m^3 kg^-1 s^-2),1419,1415.974,37.43556024972792
Coulomb Constant (N m^2 C^-2),0,0.0,0.0
Planck Constant (J·s),1419,1415.974,37.43556024972792
Reduced Planck Constant (J·s),1419,1415.974,37.43556024972792
Electron Mass (kg),1419,1415.974,37.43556024972792
Proton Mass (kg),1419,1415.974,37.43556024972792
Neutron Mass (kg),1419,1415.974,37.43556024972792
Muon Mass (kg),1419,1415.974,37.43556024972792
Tau Mass (kg),1419,1415.974,37.43556024972792
Elementary Charge (C),1419,1415.974,37.43556024972792
Speed of Light (m/s),0,0.0,0.0
Hubble Constant (km/s/Mpc),0,0.0,0.0
Critical Density (kg/m^3),1419,1415.974,37.43556024972792
Baryon-to-Photon Ratio,1419,1415.974,37.43556024972792
Astronomical Unit (m),0,0.0,0.0
Parsec (m),0,0.0,0.0
Solar Mass (kg),0,0.0,0.0
Solar Radius (m),0,0.0,0.0
Earth Mass (kg),0,0.0,0.0
Earth Radius (m),0,0.0,0.0
