ShellIndex,LogCenter,LinearCenter,Count
0,-0.7696998456609923,0.16994177668235183,27
1,-0.6578302235795102,0.21987192383598989,35
2,-0.6098860998303036,0.24553527839367636,40
3,-0.5779233506641659,0.2642875161476155,37
4,-0.545960601498028,0.2844719164122977,71
5,-0.48203510316575265,0.32958307155168215,316
6,-0.41810960483347714,0.38184789002513086,179
7,-0.35418410650120163,0.44240078967095925,119
8,-0.30623998275199504,0.4940376158916425,739
9,-0.1304448623382375,0.740551281249968,859
10,-0.09848211317209976,0.7971093196134739,3296
11,-0.0025938656736864685,0.9940452040645907,65680
12,0.09329438182472671,1.2396365760758707,176
13,0.1732012547400711,1.4900514167566479,2653
14,0.22114537848927773,1.663969564877885,42
15,0.26908950223848427,1.8581873630016423,128
16,0.301052251404622,2.0001024940994365,714
17,0.33301500057075983,2.1528560932847394,116
18,0.38095912431996637,2.404136512674959,75
19,0.47684737181837955,2.9981086803751835,355
20,0.5407728701506551,3.47354452483696,57
21,0.5727356193167928,3.738829143832524,38
22,0.6046983684829306,4.024374314714615,46
23,0.6846052413982749,4.837324716718076,28
24,0.7485307397305504,5.604420845248305,28
25,0.8444189872289636,6.989063514500309,27
26,1.5795622180501316,37.980634702555,30
27,1.6275063417993383,42.41371773422353,34
28,1.7553573384638892,56.93211769087867,36
29,1.8033014622130958,63.57720950856258,58
