Constant,ZScore_Total,ChiSquareApprox_Total,PValueApprox_Total
Golden Ratio,-0.006551859461729571,4.292686240625531e-05,0.9947724098916361
Phi Squared,-0.0003336820297222594,1.1134369695956681e-07,0.9997337602652079
Pi,-0.012059323426779312,0.00014542728151166833,0.99037828523458
Two Pi,,,
Euler’s Number,,,
Euler–Mascheroni Constant,-0.031387275384303144,0.0009851610560500821,0.974960688925041
Square Root of 2,0.04344420493863778,0.001887398942750359,0.9653474404998574
Square Root of 3,0.045433802144046534,0.0020642303772643675,0.963761538581536
Square Root of 5,0.020536917743167103,0.0004217649903896118,0.9836150621798676
Golden Ratio Conjugate,-0.07361669774109236,0.0054194181863033535,0.941315384314915
Plastic Constant,-0.01476658304313447,0.00021805197476978646,0.9882183995424999
Apéry’s Constant (zeta(3)),0.03651144406022868,0.0013330855473632083,0.970874553754027
Catalan’s Constant,-0.01733192106648801,0.00030039548785497084,0.986171820095936
Feigenbaum Delta,,,
Feigenbaum Alpha,-0.008499773944434838,7.224615710649337e-05,0.9932182432588298
Khinchin’s Constant,0.009936376667120573,9.873158127089814e-05,0.9920720489237217
Planck Length (m),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Planck Time (s),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Planck Mass (kg),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Planck Charge (C),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Planck Temperature (K),,,
Absolute Zero (K),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Cosmic Microwave Background Temp (K),,,
Boltzmann Constant (J/K),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Avogadro Constant (1/mol),,,
Gas Constant R (J/(mol·K)),,,
Fine-Structure Constant,-0.02125182948907823,0.000451640256632855,0.9830447696488864
Gravitational Constant (m^3 kg^-1 s^-2),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Coulomb Constant (N m^2 C^-2),,,
Planck Constant (J·s),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Reduced Planck Constant (J·s),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Electron Mass (kg),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Proton Mass (kg),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Neutron Mass (kg),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Muon Mass (kg),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Tau Mass (kg),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Elementary Charge (C),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Speed of Light (m/s),,,
Hubble Constant (km/s/Mpc),,,
Critical Density (kg/m^3),-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Baryon-to-Photon Ratio,-0.02519883150687777,0.0006349811093120158,0.9798963689838891
Astronomical Unit (m),,,
Parsec (m),,,
Solar Mass (kg),,,
Solar Radius (m),,,
Earth Mass (kg),,,
Earth Radius (m),,,
