Constant,AMP_D2D,AMP_P2D,AMP_P2P,TIME_D2D,TIME_P2D,TIME_P2P,AMP_PD_over_PP_DD
Absolute Zero (K),11153,133279,11205,95824,3665,96610,5.96113248054361
Apéry’s Constant (zeta(3)),268276,0,261774,276431,14363,267305,0.0
Astronomical Unit (m),0,0,0,0,0,0,0.0
Avogadro Constant (1/mol),0,0,0,0,0,0,0.0
Baryon-to-Photon Ratio,11153,133279,11205,95824,3665,96610,5.96113248054361
Boltzmann Constant (J/K),11153,133279,11205,95824,3665,96610,5.96113248054361
Catalan’s Constant,1173266,0,1091498,75852,52031,57386,0.0
Cosmic Microwave Background Temp (K),4954,0,5180,160,765,145,0.0
Coulomb Constant (N m^2 C^-2),0,0,0,0,0,0,0.0
Critical Density (kg/m^3),11153,133279,11205,95824,3665,96610,5.96113248054361
Earth Mass (kg),0,0,0,0,0,0,0.0
Earth Radius (m),0,0,0,0,0,0,0.0
Electron Mass (kg),11153,133279,11205,95824,3665,96610,5.96113248054361
Elementary Charge (C),11153,133279,11205,95824,3665,96610,5.96113248054361
Euler–Mascheroni Constant,74851,0,76297,445005,21357,392118,0.0
Euler’s Number,5058,0,5231,159,763,145,0.0
Feigenbaum Alpha,6414,0,6382,5678,984,5222,0.0
Feigenbaum Delta,1207,0,1319,661,208,603,0.0
Fine-Structure Constant,12628,113618,12790,97402,4040,98051,4.469981902588541
Gas Constant R (J/(mol·K)),306,0,335,171,117,159,0.0
Golden Ratio,34094,0,34556,440154,8213,388193,0.0
Golden Ratio Conjugate,89456,0,90319,713133,21025,655238,0.0
Gravitational Constant (m^3 kg^-1 s^-2),11153,133279,11205,95824,3665,96610,5.96113248054361
Hubble Constant (km/s/Mpc),9,0,3,17,0,21,0.0
Khinchin’s Constant,5250,0,5224,13212,784,10966,0.0
Muon Mass (kg),11153,133279,11205,95824,3665,96610,5.96113248054361
Neutron Mass (kg),11153,133279,11205,95824,3665,96610,5.96113248054361
Parsec (m),0,0,0,0,0,0,0.0
Phi Squared,5796,0,5523,13345,787,11083,0.0
Pi,3288,0,3350,611,418,578,0.0
Planck Charge (C),11153,133279,11205,95824,3665,96610,5.96113248054361
Planck Constant (J·s),11153,133279,11205,95824,3665,96610,5.96113248054361
Planck Length (m),11153,133279,11205,95824,3665,96610,5.96113248054361
Planck Mass (kg),11153,133279,11205,95824,3665,96610,5.96113248054361
Planck Temperature (K),0,0,0,0,0,0,0.0
Planck Time (s),11153,133279,11205,95824,3665,96610,5.96113248054361
Plastic Constant,113220,0,112402,62560,9885,56880,0.0
Proton Mass (kg),11153,133279,11205,95824,3665,96610,5.96113248054361
Reduced Planck Constant (J·s),11153,133279,11205,95824,3665,96610,5.96113248054361
Solar Mass (kg),0,0,0,0,0,0,0.0
Solar Radius (m),0,0,0,0,0,0,0.0
Speed of Light (m/s),0,0,0,0,0,0,0.0
Square Root of 2,71943,0,72011,2926,5182,2665,0.0
Square Root of 3,24967,0,25196,1704,7433,1554,0.0
Square Root of 5,9369,0,9306,3012,1217,2850,0.0
Tau Mass (kg),11153,133279,11205,95824,3665,96610,5.96113248054361
Two Pi,585,0,681,87,112,108,0.0
