Constant,ObservedTotal,ExpectedTotal,StdTotal,MeanPerSegment,StdPerSegment,ZScore_Total,ChiSquareApprox_Total,PValueApprox_Total,EnrichmentFactor
Golden Ratio,4144,4140.956,63.43475548199036,19.082746543778804,4.306231794987988,0.04798631250126101,0.0023026861874686786,0.9617271510821814,1.000735095953688
Phi Squared,180,180.037,13.433125304351043,0.8296635944700461,0.9118999648083634,-0.0027543850862480745,7.586637203345813e-06,0.997802321444009,0.9997944866888473
Pi,44,44.141,6.659134303557112,0.2034147465437788,0.45205149207541456,-0.021173923451983875,0.0004483350343504727,0.9831069156890606,0.9968056908543078
Two Pi,4,3.936,1.9850964340642403,0.018138248847926267,0.1347571266813133,0.03224024732590343,0.001039433547635423,0.9742804601247929,1.016260162601626
Euler’s Number,69,68.97,8.320155168483923,0.31783410138248847,0.5648089356304229,0.0036057019842176403,1.3001086798991029e-05,0.9971230722898023,1.0004349717268377
Euler–Mascheroni Constant,4609,4610.23,67.00351263575631,21.245299539170507,4.548494816376961,-0.018357246532522478,0.00033698850025580855,0.9853538590143156,0.9997332020311352
Square Root of 2,690,690.3149999999999,26.151063082513915,3.181175115207373,1.7752498368284813,-0.012045399416690167,0.00014509164710759982,0.9903893941803857,0.9995436865778667
Square Root of 3,289,289.024,17.011368850174346,1.3319078341013826,1.1548069644516352,-0.0014108212108842105,1.99041648908079e-06,0.9988743279112083,0.9999169619131976
Square Root of 5,108,108.268,10.3809321336349,0.4989308755760369,0.7047035915218836,-0.02581656411486047,0.0006664949826967013,0.9794036499991752,0.9975246610263421
Golden Ratio Conjugate,7250,7251.360000000001,83.00220235821074,33.41640552995392,5.634556642224787,-0.016385107399093587,0.0002684717444798314,0.9869271607297776,0.9998124489750887
Plastic Constant,1572,1573.5729999999999,39.42482110576024,7.251488479262672,2.676331245661347,-0.03989872257835152,0.0015919080633842572,0.9681738695285396,0.9990003641394458
Apéry’s Constant (zeta(3)),5148,5147.154,70.65270699638515,23.719603686635946,4.796218271168116,0.011974063499687753,0.00014337819669455452,0.9904463079025957,1.000164362674985
Catalan’s Constant,11553,11553.774,103.77923424500327,53.24319815668203,7.044993470373147,-0.007458139440229092,5.5623843909900714e-05,0.9940493208549854,0.9999330089025457
Feigenbaum Delta,24,23.930999999999997,4.901006310191262,0.1102811059907834,0.33270198710506915,0.014078741310029019,0.0001982109568747176,0.988767160753052,1.0028832894571895
Feigenbaum Alpha,109,109.10400000000001,10.444535356839792,0.5027834101382489,0.7090212596510904,-0.00995736013588265,9.914902087566496e-05,0.9920553073661915,0.9990467810529402
Khinchin’s Constant,186,186.10899999999998,13.669437321170879,0.8576451612903225,0.9279418697961777,-0.007973993181940562,6.358456726563456e-05,0.9936377413758307,0.9994143217146941
Planck Length (m),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Planck Time (s),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Planck Mass (kg),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Planck Charge (C),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Planck Temperature (K),0,0.0,0.0,0.0,0.0,,,,
Absolute Zero (K),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Cosmic Microwave Background Temp (K),64,63.87200000000001,8.002365323138964,0.2943410138248848,0.5432359552389827,0.015995270751996166,0.00025584868642966396,0.9872381646065779,1.002004008016032
Boltzmann Constant (J/K),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Avogadro Constant (1/mol),0,0.0,0.0,0.0,0.0,,,,
Gas Constant R (J/(mol·K)),2,1.9869999999999999,1.41166769206179,0.009156682027649769,0.09583024720950742,0.009208966156201513,8.480505766606486e-05,0.9926524119352624,1.0065425264217414
Fine-Structure Constant,1351,1350.393,36.49050444953545,6.223009216589862,2.4771368515852883,0.016634464476626285,0.0002767054084241418,0.9867282296814698,1.0004494987755417
Gravitational Constant (m^3 kg^-1 s^-2),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Coulomb Constant (N m^2 C^-2),0,0.0,0.0,0.0,0.0,,,,
Planck Constant (J·s),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Reduced Planck Constant (J·s),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Electron Mass (kg),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Proton Mass (kg),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Neutron Mass (kg),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Muon Mass (kg),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Tau Mass (kg),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Elementary Charge (C),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Speed of Light (m/s),0,0.0,0.0,0.0,0.0,,,,
Hubble Constant (km/s/Mpc),0,0.0,0.0,0.0,0.0,,,,
Critical Density (kg/m^3),1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Baryon-to-Photon Ratio,1410,1409.6209999999999,37.31314030529186,6.49594930875576,2.5329810122640684,0.010157279631229052,0.00010317032950698058,0.9918958027548412,1.0002688665960568
Astronomical Unit (m),0,0.0,0.0,0.0,0.0,,,,
Parsec (m),0,0.0,0.0,0.0,0.0,,,,
Solar Mass (kg),0,0.0,0.0,0.0,0.0,,,,
Solar Radius (m),0,0.0,0.0,0.0,0.0,,,,
Earth Mass (kg),0,0.0,0.0,0.0,0.0,,,,
Earth Radius (m),0,0.0,0.0,0.0,0.0,,,,
