Event,Detector,WindowType,Domain,Constant,Count
151008-v1,H1,ON,AMP_P2P,Golden Ratio,0
151008-v1,H1,ON,AMP_P2P,Phi Squared,1
151008-v1,H1,ON,AMP_P2P,Pi,0
151008-v1,H1,ON,AMP_P2P,Two Pi,0
151008-v1,H1,ON,AMP_P2P,Euler’s Number,0
151008-v1,H1,ON,AMP_P2P,Euler–Mascheroni Constant,1
151008-v1,H1,ON,AMP_P2P,Square Root of 2,1
151008-v1,H1,ON,AMP_P2P,Square Root of 3,1
151008-v1,H1,ON,AMP_P2P,Square Root of 5,1
151008-v1,H1,ON,AMP_P2P,Golden Ratio Conjugate,2
151008-v1,H1,ON,AMP_P2P,Plastic Constant,2
151008-v1,H1,ON,AMP_P2P,Apéry’s Constant (zeta(3)),6
151008-v1,H1,ON,AMP_P2P,Catalan’s Constant,62
151008-v1,H1,ON,AMP_P2P,Feigenbaum Delta,0
151008-v1,H1,ON,AMP_P2P,Feigenbaum Alpha,0
151008-v1,H1,ON,AMP_P2P,Khinchin’s Constant,0
151008-v1,H1,ON,AMP_P2P,Planck Length (m),0
151008-v1,H1,ON,AMP_P2P,Planck Time (s),0
151008-v1,H1,ON,AMP_P2P,Planck Mass (kg),0
151008-v1,H1,ON,AMP_P2P,Planck Charge (C),0
151008-v1,H1,ON,AMP_P2P,Planck Temperature (K),0
151008-v1,H1,ON,AMP_P2P,Absolute Zero (K),0
151008-v1,H1,ON,AMP_P2P,Cosmic Microwave Background Temp (K),0
151008-v1,H1,ON,AMP_P2P,Boltzmann Constant (J/K),0
151008-v1,H1,ON,AMP_P2P,Avogadro Constant (1/mol),0
151008-v1,H1,ON,AMP_P2P,Gas Constant R (J/(mol·K)),0
151008-v1,H1,ON,AMP_P2P,Fine-Structure Constant,0
151008-v1,H1,ON,AMP_P2P,Gravitational Constant (m^3 kg^-1 s^-2),0
151008-v1,H1,ON,AMP_P2P,Coulomb Constant (N m^2 C^-2),0
151008-v1,H1,ON,AMP_P2P,Planck Constant (J·s),0
151008-v1,H1,ON,AMP_P2P,Reduced Planck Constant (J·s),0
151008-v1,H1,ON,AMP_P2P,Electron Mass (kg),0
151008-v1,H1,ON,AMP_P2P,Proton Mass (kg),0
151008-v1,H1,ON,AMP_P2P,Neutron Mass (kg),0
151008-v1,H1,ON,AMP_P2P,Muon Mass (kg),0
151008-v1,H1,ON,AMP_P2P,Tau Mass (kg),0
151008-v1,H1,ON,AMP_P2P,Elementary Charge (C),0
151008-v1,H1,ON,AMP_P2P,Speed of Light (m/s),0
151008-v1,H1,ON,AMP_P2P,Hubble Constant (km/s/Mpc),0
151008-v1,H1,ON,AMP_P2P,Critical Density (kg/m^3),0
151008-v1,H1,ON,AMP_P2P,Baryon-to-Photon Ratio,0
151008-v1,H1,ON,AMP_P2P,Astronomical Unit (m),0
151008-v1,H1,ON,AMP_P2P,Parsec (m),0
151008-v1,H1,ON,AMP_P2P,Solar Mass (kg),0
151008-v1,H1,ON,AMP_P2P,Solar Radius (m),0
151008-v1,H1,ON,AMP_P2P,Earth Mass (kg),0
151008-v1,H1,ON,AMP_P2P,Earth Radius (m),0
151008-v1,H1,ON,AMP_P2D,Golden Ratio,0
151008-v1,H1,ON,AMP_P2D,Phi Squared,0
151008-v1,H1,ON,AMP_P2D,Pi,0
151008-v1,H1,ON,AMP_P2D,Two Pi,0
151008-v1,H1,ON,AMP_P2D,Euler’s Number,0
151008-v1,H1,ON,AMP_P2D,Euler–Mascheroni Constant,0
151008-v1,H1,ON,AMP_P2D,Square Root of 2,0
151008-v1,H1,ON,AMP_P2D,Square Root of 3,0
151008-v1,H1,ON,AMP_P2D,Square Root of 5,0
151008-v1,H1,ON,AMP_P2D,Golden Ratio Conjugate,0
151008-v1,H1,ON,AMP_P2D,Plastic Constant,0
151008-v1,H1,ON,AMP_P2D,Apéry’s Constant (zeta(3)),0
151008-v1,H1,ON,AMP_P2D,Catalan’s Constant,0
151008-v1,H1,ON,AMP_P2D,Feigenbaum Delta,0
151008-v1,H1,ON,AMP_P2D,Feigenbaum Alpha,0
151008-v1,H1,ON,AMP_P2D,Khinchin’s Constant,0
151008-v1,H1,ON,AMP_P2D,Planck Length (m),0
151008-v1,H1,ON,AMP_P2D,Planck Time (s),0
151008-v1,H1,ON,AMP_P2D,Planck Mass (kg),0
151008-v1,H1,ON,AMP_P2D,Planck Charge (C),0
