Constant,NULL_PHASE,NULL_SHUFFLE,OFF1,OFF2,ON,ON_vs_OFF1,ON_vs_OFF2,ON_vs_NULL_PHASE,ON_vs_NULL_SHUFFLE
Absolute Zero (K),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Apéry’s Constant (zeta(3)),35603,25632,511078,510688,5148,0.010072826457018283,0.010080518829500576,0.14459455663848148,0.20084269662920565
Astronomical Unit (m),0,0,0,0,0,0.0,0.0,0.0,0.0
Avogadro Constant (1/mol),0,0,0,0,0,0.0,0.0,0.0,0.0
Baryon-to-Photon Ratio,8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Boltzmann Constant (J/K),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Catalan’s Constant,70090,57359,1163054,1147977,11553,0.009933330696597055,0.010063790476638461,0.16483093165929283,0.20141564532156767
Cosmic Microwave Background Temp (K),572,330,5109,5129,64,0.012526913290269616,0.012478065899783099,0.11188811188791628,0.19393939393880624
Coulomb Constant (N m^2 C^-2),0,0,0,0,0,0.0,0.0,0.0,0.0
Critical Density (kg/m^3),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Earth Mass (kg),0,0,0,0,0,0.0,0.0,0.0,0.0
Earth Radius (m),0,0,0,0,0,0.0,0.0,0.0,0.0
Electron Mass (kg),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Elementary Charge (C),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Euler–Mascheroni Constant,27519,23076,475812,478612,4609,0.009686598908812705,0.009629929880571299,0.16748428358588002,0.1997313225862281
Euler’s Number,574,355,5169,5189,69,0.013348810214739146,0.013297359799573463,0.12020905923324006,0.19436619718255108
Feigenbaum Alpha,4285,565,9759,9962,109,0.011169177169790842,0.01094157799638517,0.02543757292881553,0.19292035398195945
Feigenbaum Delta,204,139,1901,1730,24,0.012624934245127499,0.013872832369934177,0.11764705882295272,0.17266187050235496
Fine-Structure Constant,7902,7177,162105,159994,1351,0.00833410443848118,0.008444066652499416,0.17096937484179056,0.18824021178762876
Gas Constant R (J/(mol·K)),45,17,521,503,2,0.003838771593082843,0.003976143141145177,0.04444444444345679,0.117647058816609
Golden Ratio,22698,20676,427117,430575,4144,0.00970225956822133,0.009624339545955967,0.18257115164330853,0.2004256142387212
Golden Ratio Conjugate,46042,36278,744325,735276,7250,0.009740368790514882,0.009860242956386432,0.1574649233308684,0.19984563647389053
Gravitational Constant (m^3 kg^-1 s^-2),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Hubble Constant (km/s/Mpc),0,0,17,33,0,0.0,0.0,0.0,0.0
Khinchin’s Constant,1891,984,16350,16025,186,0.01137614678899013,0.011606864274570259,0.0983606557376529,0.18902439024371034
Muon Mass (kg),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Neutron Mass (kg),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Parsec (m),0,0,0,0,0,0.0,0.0,0.0,0.0
Phi Squared,2014,959,17008,16373,180,0.010583254938851682,0.010993709155316007,0.08937437934454351,0.18769551616247374
Pi,281,208,3895,3817,44,0.011296534017968858,0.011527377521610814,0.1565836298926812,0.21153846153744454
Planck Charge (C),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Planck Constant (J·s),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Planck Length (m),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Planck Mass (kg),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Planck Temperature (K),0,0,0,0,0,0.0,0.0,0.0,0.0
Planck Time (s),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Plastic Constant,18765,8072,163113,163425,1572,0.00963749057401918,0.009619091326296408,0.08377298161470377,0.19474727452921273
Proton Mass (kg),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Reduced Planck Constant (J·s),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Solar Mass (kg),0,0,0,0,0,0.0,0.0,0.0,0.0
Solar Radius (m),0,0,0,0,0,0.0,0.0,0.0,0.0
Speed of Light (m/s),0,0,0,0,0,0.0,0.0,0.0,0.0
Square Root of 2,6465,3531,71631,72410,690,0.00963270092557678,0.009529070570363077,0.10672853828304613,0.19541206457088772
Square Root of 3,3110,1517,27731,28207,289,0.010421549890014408,0.010245683695536205,0.09292604501604729,0.1905075807513576
Square Root of 5,1569,574,11681,11822,108,0.009245783751390357,0.00913551006597791,0.06883365200760432,0.18815331010420183
Tau Mass (kg),8169,7368,168401,166388,1410,0.008372871895059957,0.008474168810250688,0.17260374586850621,0.1913680781758698
Two Pi,69,20,732,748,4,0.0054644808743094745,0.005347593582880551,0.05797101449191346,0.19999999999
