ConstantName,ConstantValue,MatchCount
rat_61/62,0.9838709677419355,24
rat_62/63,0.9841269841269841,23
rat_59/60,0.9833333333333333,21
rat_63/64,0.984375,21
rat_60/61,0.9836065573770492,20
rat_58/59,0.9830508474576272,19
rat_51/52,0.9807692307692307,19
rat_52/53,0.9811320754716981,17
rat_50/51,0.9803921568627451,16
rat_56/57,0.9824561403508771,16
rat_53/54,0.9814814814814815,16
rat_57/58,0.9827586206896551,16
rat_55/56,0.9821428571428571,16
rat_54/55,0.9818181818181818,16
rat_49/50,0.98,13
rat_47/48,0.9791666666666666,12
rat_27/24,1.125,11
rat_72/64,1.125,11
rat_36/32,1.125,11
rat_9/8,1.125,11
rat_54/48,1.125,11
rat_63/56,1.125,11
rat_45/40,1.125,11
rat_48/49,0.9795918367346939,11
rat_18/16,1.125,11
rat_39/40,0.975,10
rat_47/46,1.0217391304347827,9
rat_46/47,0.9787234042553191,9
rat_53/52,1.0192307692307692,8
rat_16/14,1.1428571428571428,8
rat_46/45,1.0222222222222221,8
rat_40/41,0.975609756097561,8
rat_56/49,1.1428571428571428,8
rat_24/21,1.1428571428571428,8
rat_49/48,1.0208333333333333,8
rat_32/28,1.1428571428571428,8
rat_54/53,1.0188679245283019,8
rat_40/35,1.1428571428571428,8
rat_48/42,1.1428571428571428,8
rat_55/54,1.0185185185185186,8
rat_59/61,0.9672131147540983,8
rat_72/63,1.1428571428571428,8
rat_8/7,1.1428571428571428,8
rat_64/56,1.1428571428571428,8
rat_35/34,1.0294117647058822,7
rat_28/27,1.037037037037037,7
rat_41/42,0.9761904761904762,7
rat_38/39,0.9743589743589743,7
rat_29/30,0.9666666666666667,7
rat_32/40,0.8,7
rat_45/44,1.0227272727272727,7
rat_24/30,0.8,7
rat_30/31,0.967741935483871,7
rat_34/33,1.0303030303030303,7
rat_28/35,0.8,7
rat_56/54,1.037037037037037,7
rat_60/62,0.967741935483871,7
rat_20/25,0.8,7
rat_48/60,0.8,7
rat_51/50,1.02,7
rat_52/51,1.0196078431372548,7
rat_53/51,1.0392156862745099,7
rat_58/60,0.9666666666666667,7
rat_16/20,0.8,7
rat_40/50,0.8,7
rat_36/45,0.8,7
rat_56/55,1.018181818181818,7
rat_12/15,0.8,7
rat_8/10,0.8,7
rat_44/55,0.8,7
rat_4/5,0.8,7
rat_26/25,1.04,6
rat_61/63,0.9682539682539683,6
rat_40/39,1.0256410256410255,6
rat_45/46,0.9782608695652174,6
Zeta(5)_approx,1.03692775514337,6
rat_57/59,0.9661016949152542,6
rat_50/49,1.0204081632653061,6
rat_57/56,1.0178571428571428,6
pi/3,1.0471975511965976,6
rat_52/50,1.04,6
rat_48/47,1.0212765957446808,6
rat_45/43,1.0465116279069768,6
rat_44/43,1.0232558139534884,6
rat_57/55,1.0363636363636364,6
rat_108/54,2.0,5
rat_8/4,2.0,5
rat_10/5,2.0,5
rat_12/6,2.0,5
rat_110/55,2.0,5
rat_76/38,2.0,5
rat_106/53,2.0,5
rat_58/56,1.0357142857142858,5
rat_14/7,2.0,5
rat_55/53,1.0377358490566038,5
rat_104/52,2.0,5
rat_54/52,1.0384615384615385,5
rat_16/8,2.0,5
rat_18/9,2.0,5
rat_20/10,2.0,5
rat_22/11,2.0,5
rat_6/3,2.0,5
rat_112/56,2.0,5
rat_4/2,2.0,5
rat_124/62,2.0,5
rat_128/64,2.0,5
rat_30/60,0.5,5
rat_67/64,1.046875,5
rat_65/64,1.015625,5
rat_126/63,2.0,5
rat_66/63,1.0476190476190477,5
rat_64/63,1.0158730158730158,5
rat_31/62,0.5,5
rat_63/62,1.0161290322580645,5
rat_26/13,2.0,5
rat_122/61,2.0,5
rat_120/60,2.0,5
rat_118/59,2.0,5
rat_32/64,0.5,5
rat_116/58,2.0,5
rat_62/64,0.96875,5
rat_114/57,2.0,5
rat_58/57,1.0175438596491229,5
rat_24/12,2.0,5
rat_30/15,2.0,5
rat_102/51,2.0,5
rat_64/32,2.0,5
rat_88/44,2.0,5
rat_86/43,2.0,5
rat_56/28,2.0,5
rat_58/29,2.0,5
rat_60/30,2.0,5
rat_62/31,2.0,5
rat_84/42,2.0,5
rat_44/42,1.0476190476190477,5
rat_43/42,1.0238095238095237,5
rat_28/14,2.0,5
rat_66/33,2.0,5
rat_82/41,2.0,5
rat_68/34,2.0,5
rat_42/41,1.024390243902439,5
rat_80/40,2.0,5
rat_70/35,2.0,5
rat_72/36,2.0,5
rat_74/37,2.0,5
rat_29/28,1.0357142857142858,5
rat_54/27,2.0,5
rat_90/45,2.0,5
rat_52/26,2.0,5
rat_78/39,2.0,5
rat_100/50,2.0,5
rat_32/16,2.0,5
rat_34/17,2.0,5
rat_98/49,2.0,5
rat_36/18,2.0,5
rat_38/19,2.0,5
rat_22/21,1.0476190476190477,5
rat_96/48,2.0,5
rat_42/21,2.0,5
rat_44/22,2.0,5
rat_46/23,2.0,5
rat_94/47,2.0,5
rat_48/24,2.0,5
rat_50/25,2.0,5
rat_27/26,1.0384615384615385,5
rat_92/46,2.0,5
rat_36/35,1.0285714285714285,5
rat_40/20,2.0,5
rat_16/32,0.5,5
rat_6/12,0.5,5
rat_8/16,0.5,5
rat_28/56,0.5,5
rat_15/30,0.5,5
rat_20/40,0.5,5
rat_24/48,0.5,5
rat_18/36,0.5,5
rat_34/35,0.9714285714285714,5
rat_23/46,0.5,5
rat_31/32,0.96875,5
rat_27/54,0.5,5
rat_19/38,0.5,5
rat_10/20,0.5,5
rat_7/14,0.5,5
rat_26/52,0.5,5
rat_17/34,0.5,5
rat_9/18,0.5,5
rat_25/50,0.5,5
rat_11/22,0.5,5
rat_3/6,0.5,5
rat_4/8,0.5,5
Dirichlet_beta(3),0.9689461462593694,5
rat_22/44,0.5,5
rat_13/26,0.5,5
rat_5/10,0.5,5
rat_2/4,0.5,5
rat_12/24,0.5,5
rat_21/42,0.5,5
rat_29/58,0.5,5
rat_14/28,0.5,5
rat_1/2,0.5,5
rat_48/46,1.0434782608695652,4
rat_41/40,1.025,4
rat_61/59,1.0338983050847457,4
rat_37/38,0.9736842105263158,4
rat_62/60,1.0333333333333334,4
rat_66/64,1.03125,4
rat_35/36,0.9722222222222222,4
rat_31/30,1.0333333333333334,4
Zeta(6)_pi^6/945,1.017343061984449,4
rat_59/58,1.0172413793103448,4
rat_24/23,1.0434782608695652,4
rat_44/45,0.9777777777777777,4
rat_38/37,1.027027027027027,4
rat_33/32,1.03125,4
rat_96/32,3.0,3
rat_165/55,3.0,3
rat_13/39,0.3333333333333333,3
rat_99/33,3.0,3
rat_102/34,3.0,3
rat_33/34,0.9705882352941176,3
rat_93/31,3.0,3
rat_5/15,0.3333333333333333,3
rat_32/31,1.032258064516129,3
rat_90/30,3.0,3
rat_9/12,0.75,3
rat_87/29,3.0,3
rat_30/29,1.0344827586206897,3
rat_84/28,3.0,3
rat_30/40,0.75,3
rat_4/12,0.3333333333333333,3
rat_81/27,3.0,3
rat_168/56,3.0,3
rat_78/26,3.0,3
rat_27/36,0.75,3
rat_12/16,0.75,3
rat_12/36,0.3333333333333333,3
rat_138/46,3.0,3
rat_129/43,3.0,3
rat_46/44,1.0454545454545454,3
rat_10/30,0.3333333333333333,3
rat_132/44,3.0,3
rat_47/45,1.0444444444444445,3
rat_135/45,3.0,3
rat_150/50,3.0,3
rat_21/28,0.75,3
rat_7/21,0.3333333333333333,3
rat_49/47,1.0425531914893618,3
rat_8/24,0.3333333333333333,3
rat_141/47,3.0,3
rat_147/49,3.0,3
rat_9/27,0.3333333333333333,3
rat_144/48,3.0,3
rat_18/24,0.75,3
rat_153/51,3.0,3
rat_126/42,3.0,3
rat_105/35,3.0,3
rat_6/18,0.3333333333333333,3
rat_37/36,1.0277777777777777,3
rat_162/54,3.0,3
rat_108/36,3.0,3
rat_111/37,3.0,3
rat_39/38,1.0263157894736843,3
rat_42/43,0.9767441860465116,3
rat_114/38,3.0,3
rat_159/53,3.0,3
rat_24/32,0.75,3
rat_117/39,3.0,3
rat_11/33,0.3333333333333333,3
rat_56/53,1.0566037735849056,3
rat_120/40,3.0,3
rat_156/52,3.0,3
rat_15/20,0.75,3
rat_123/41,3.0,3
rat_75/25,3.0,3
rat_14/42,0.3333333333333333,3
rat_51/49,1.0408163265306123,3
rat_30/10,3.0,3
rat_15/5,3.0,3
rat_61/60,1.0166666666666666,3
rat_2/6,0.3333333333333333,3
rat_186/62,3.0,3
rat_21/63,0.3333333333333333,3
rat_42/14,3.0,3
rat_39/13,3.0,3
rat_16/48,0.3333333333333333,3
rat_64/62,1.032258064516129,3
rat_36/12,3.0,3
rat_48/64,0.75,3
rat_33/11,3.0,3
rat_180/60,3.0,3
rat_183/61,3.0,3
rat_19/57,0.3333333333333333,3
rat_62/61,1.0163934426229508,3
rat_27/9,3.0,3
rat_36/48,0.75,3
rat_18/54,0.3333333333333333,3
rat_6/2,3.0,3
rat_24/8,3.0,3
rat_63/61,1.0327868852459017,3
rat_72/24,3.0,3
rat_21/7,3.0,3
rat_17/51,0.3333333333333333,3
rat_18/6,3.0,3
rat_9/3,3.0,3
rat_39/52,0.75,3
rat_42/56,0.75,3
rat_12/4,3.0,3
rat_45/15,3.0,3
rat_60/58,1.0344827586206897,3
rat_3/9,0.3333333333333333,3
rat_60/20,3.0,3
rat_1/3,0.3333333333333333,3
rat_15/45,0.3333333333333333,3
rat_63/21,3.0,3
rat_23/22,1.0454545454545454,3
rat_66/22,3.0,3
rat_177/59,3.0,3
rat_171/57,3.0,3
rat_33/44,0.75,3
rat_69/23,3.0,3
rat_45/60,0.75,3
rat_20/60,0.3333333333333333,3
rat_192/64,3.0,3
rat_57/19,3.0,3
rat_189/63,3.0,3
rat_3/4,0.75,3
rat_51/17,3.0,3
rat_6/8,0.75,3
rat_54/18,3.0,3
rat_174/58,3.0,3
rat_48/16,3.0,3
rat_65/63,1.0317460317460319,3
rat_60/59,1.0169491525423728,3
ln(3),1.0986122886681098,2
rat_50/48,1.0416666666666667,2
rat_49/45,1.0888888888888888,2
rat_55/52,1.0576923076923077,2
rat_50/47,1.0638297872340425,2
rat_56/51,1.0980392156862746,2
rat_12/64,0.1875,2
rat_66/62,1.064516129032258,2
rat_6/32,0.1875,2
rat_67/63,1.0634920634920635,2
rat_51/45,1.1333333333333333,2
rat_67/61,1.098360655737705,2
rat_36/37,0.972972972972973,2
rat_33/31,1.064516129032258,2
rat_34/30,1.1333333333333333,2
rat_17/15,1.1333333333333333,2
rat_68/60,1.1333333333333333,2
rat_25/24,1.0416666666666667,2
rat_37/35,1.0571428571428572,2
rat_61/54,1.1296296296296295,2
rat_9/48,0.1875,2
rat_59/57,1.0350877192982457,2
rat_3/16,0.1875,2
rat_113/59,1.9152542372881356,1
rat_6/24,0.25,1
rat_5/24,0.20833333333333334,1
rat_55/50,1.1,1
rat_53/50,1.06,1
rat_60/56,1.0714285714285714,1
rat_61/56,1.0892857142857142,1
rat_68/63,1.0793650793650793,1
rat_1/4,0.25,1
rat_63/58,1.0862068965517242,1
rat_9/24,0.375,1
rat_64/57,1.1228070175438596,1
rat_3/12,0.25,1
rat_11/24,0.4583333333333333,1
rat_69/64,1.078125,1
rat_71/64,1.109375,1
rat_61/57,1.0701754385964912,1
rat_61/55,1.1090909090909091,1
rat_57/53,1.0754716981132075,1
rat_54/51,1.0588235294117647,1
rat_66/60,1.1,1
rat_69/61,1.1311475409836065,1
rat_5/20,0.25,1
rat_3/8,0.375,1
rat_57/54,1.0555555555555556,1
rat_59/54,1.0925925925925926,1
rat_148/61,2.4262295081967213,1
rat_131/54,2.425925925925926,1
rat_59/52,1.1346153846153846,1
rat_56/52,1.0769230769230769,1
rat_2/8,0.25,1
rat_65/62,1.0483870967741935,1
