Event,Detector,WindowType,Domain,Constant,Count
151008-v1,H1,LEGACY_120s,AMP_P2P,Golden Ratio,392
151008-v1,H1,LEGACY_120s,AMP_P2D,Golden Ratio,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Golden Ratio,383
151008-v1,H1,LEGACY_120s,AMP_P2P,Phi Squared,57
151008-v1,H1,LEGACY_120s,AMP_P2D,Phi Squared,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Phi Squared,64
151008-v1,H1,LEGACY_120s,AMP_P2P,Pi,35
151008-v1,H1,LEGACY_120s,AMP_P2D,Pi,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Pi,35
151008-v1,H1,LEGACY_120s,AMP_P2P,Two Pi,9
151008-v1,H1,LEGACY_120s,AMP_P2D,Two Pi,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Two Pi,1
151008-v1,H1,LEGACY_120s,AMP_P2P,Euler’s Number,58
151008-v1,H1,LEGACY_120s,AMP_P2D,Euler’s Number,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Euler’s Number,50
151008-v1,H1,LEGACY_120s,AMP_P2P,Euler–Mascheroni Constant,826
151008-v1,H1,LEGACY_120s,AMP_P2D,Euler–Mascheroni Constant,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Euler–Mascheroni Constant,794
151008-v1,H1,LEGACY_120s,AMP_P2P,Square Root of 2,788
151008-v1,H1,LEGACY_120s,AMP_P2D,Square Root of 2,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Square Root of 2,812
151008-v1,H1,LEGACY_120s,AMP_P2P,Square Root of 3,265
151008-v1,H1,LEGACY_120s,AMP_P2D,Square Root of 3,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Square Root of 3,262
151008-v1,H1,LEGACY_120s,AMP_P2P,Square Root of 5,105
151008-v1,H1,LEGACY_120s,AMP_P2D,Square Root of 5,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Square Root of 5,89
151008-v1,H1,LEGACY_120s,AMP_P2P,Golden Ratio Conjugate,965
151008-v1,H1,LEGACY_120s,AMP_P2D,Golden Ratio Conjugate,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Golden Ratio Conjugate,951
151008-v1,H1,LEGACY_120s,AMP_P2P,Plastic Constant,1225
151008-v1,H1,LEGACY_120s,AMP_P2D,Plastic Constant,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Plastic Constant,1296
151008-v1,H1,LEGACY_120s,AMP_P2P,Apéry’s Constant (zeta(3)),3114
151008-v1,H1,LEGACY_120s,AMP_P2D,Apéry’s Constant (zeta(3)),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Apéry’s Constant (zeta(3)),3291
151008-v1,H1,LEGACY_120s,AMP_P2P,Catalan’s Constant,15950
151008-v1,H1,LEGACY_120s,AMP_P2D,Catalan’s Constant,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Catalan’s Constant,15490
151008-v1,H1,LEGACY_120s,AMP_P2P,Feigenbaum Delta,14
151008-v1,H1,LEGACY_120s,AMP_P2D,Feigenbaum Delta,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Feigenbaum Delta,17
151008-v1,H1,LEGACY_120s,AMP_P2P,Feigenbaum Alpha,72
151008-v1,H1,LEGACY_120s,AMP_P2D,Feigenbaum Alpha,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Feigenbaum Alpha,66
151008-v1,H1,LEGACY_120s,AMP_P2P,Khinchin’s Constant,59
151008-v1,H1,LEGACY_120s,AMP_P2D,Khinchin’s Constant,0
151008-v1,H1,LEGACY_120s,AMP_D2D,Khinchin’s Constant,54
151008-v1,H1,LEGACY_120s,AMP_P2P,Planck Length (m),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Planck Length (m),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Planck Length (m),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Planck Time (s),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Planck Time (s),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Planck Time (s),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Planck Mass (kg),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Planck Mass (kg),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Planck Mass (kg),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Planck Charge (C),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Planck Charge (C),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Planck Charge (C),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Planck Temperature (K),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Planck Temperature (K),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Planck Temperature (K),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Absolute Zero (K),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Absolute Zero (K),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Absolute Zero (K),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Cosmic Microwave Background Temp (K),57
151008-v1,H1,LEGACY_120s,AMP_P2D,Cosmic Microwave Background Temp (K),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Cosmic Microwave Background Temp (K),53
151008-v1,H1,LEGACY_120s,AMP_P2P,Boltzmann Constant (J/K),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Boltzmann Constant (J/K),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Boltzmann Constant (J/K),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Avogadro Constant (1/mol),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Avogadro Constant (1/mol),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Avogadro Constant (1/mol),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Gas Constant R (J/(mol·K)),2
151008-v1,H1,LEGACY_120s,AMP_P2D,Gas Constant R (J/(mol·K)),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Gas Constant R (J/(mol·K)),10
151008-v1,H1,LEGACY_120s,AMP_P2P,Fine-Structure Constant,119
151008-v1,H1,LEGACY_120s,AMP_P2D,Fine-Structure Constant,2014
151008-v1,H1,LEGACY_120s,AMP_D2D,Fine-Structure Constant,126
151008-v1,H1,LEGACY_120s,AMP_P2P,Gravitational Constant (m^3 kg^-1 s^-2),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Gravitational Constant (m^3 kg^-1 s^-2),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Gravitational Constant (m^3 kg^-1 s^-2),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Coulomb Constant (N m^2 C^-2),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Coulomb Constant (N m^2 C^-2),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Coulomb Constant (N m^2 C^-2),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Planck Constant (J·s),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Planck Constant (J·s),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Planck Constant (J·s),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Reduced Planck Constant (J·s),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Reduced Planck Constant (J·s),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Reduced Planck Constant (J·s),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Electron Mass (kg),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Electron Mass (kg),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Electron Mass (kg),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Proton Mass (kg),104
