Constant,MeanPerSegment,StdPerSegment
Golden Ratio,32.6117,5.6470455204469525
Phi Squared,0.9001,0.9476919277908827
Pi,0.4024,0.629344293689869
Two Pi,0.0,0.0
Euler’s Number,0.0,0.0
Euler–Mascheroni Constant,32.3554,5.58156705952728
Square Root of 2,2.4785,1.5649721243523798
Square Root of 3,0.6881,0.8282622712643624
Square Root of 5,0.3959,0.6313186121127746
Golden Ratio Conjugate,49.159,6.830001390922259
Plastic Constant,6.1115,2.462735826271263
Apéry’s Constant (zeta(3)),27.7397,5.222618491714668
Catalan’s Constant,55.8394,7.188686085787861
Feigenbaum Delta,0.0,0.0
Feigenbaum Alpha,0.2012,0.4464510723472394
Khinchin’s Constant,0.7972,0.891107266270453
Planck Length (m),6.32,2.5098605538953755
Planck Time (s),6.32,2.5098605538953755
Planck Mass (kg),6.32,2.5098605538953755
Planck Charge (C),6.32,2.5098605538953755
Planck Temperature (K),0.0,0.0
Absolute Zero (K),6.32,2.5098605538953755
Cosmic Microwave Background Temp (K),0.0,0.0
Boltzmann Constant (J/K),6.32,2.5098605538953755
Avogadro Constant (1/mol),0.0,0.0
Gas Constant R (J/(mol·K)),0.0,0.0
Fine-Structure Constant,6.0165,2.4552042175753934
Gravitational Constant (m^3 kg^-1 s^-2),6.32,2.5098605538953755
Coulomb Constant (N m^2 C^-2),0.0,0.0
Planck Constant (J·s),6.32,2.5098605538953755
Reduced Planck Constant (J·s),6.32,2.5098605538953755
Electron Mass (kg),6.32,2.5098605538953755
Proton Mass (kg),6.32,2.5098605538953755
Neutron Mass (kg),6.32,2.5098605538953755
Muon Mass (kg),6.32,2.5098605538953755
Tau Mass (kg),6.32,2.5098605538953755
Elementary Charge (C),6.32,2.5098605538953755
Speed of Light (m/s),0.0,0.0
Hubble Constant (km/s/Mpc),0.0,0.0
Critical Density (kg/m^3),6.32,2.5098605538953755
Baryon-to-Photon Ratio,6.32,2.5098605538953755
Astronomical Unit (m),0.0,0.0
Parsec (m),0.0,0.0
Solar Mass (kg),0.0,0.0
Solar Radius (m),0.0,0.0
Earth Mass (kg),0.0,0.0
Earth Radius (m),0.0,0.0
