Event,Detector,Constant,Count,RankWithinEvent
151008-v1,L1,Catalan’s Constant,9,1
151008-v1,L1,Absolute Zero (K),0,2
151008-v1,L1,Planck Time (s),0,3
151008-v1,L1,Neutron Mass (kg),0,4
151008-v1,L1,Parsec (m),0,5
151008-v1,L1,Phi Squared,0,6
151008-v1,L1,Pi,0,7
151008-v1,L1,Planck Charge (C),0,8
151008-v1,L1,Planck Constant (J·s),0,9
151008-v1,L1,Planck Length (m),0,10
151008-v1,L1,Planck Mass (kg),0,11
151008-v1,L1,Planck Temperature (K),0,12
151008-v1,L1,Plastic Constant,0,13
151008-v1,L1,Khinchin’s Constant,0,14
151008-v1,L1,Proton Mass (kg),0,15
151008-v1,L1,Reduced Planck Constant (J·s),0,16
151008-v1,L1,Solar Mass (kg),0,17
151008-v1,L1,Solar Radius (m),0,18
151008-v1,L1,Speed of Light (m/s),0,19
151008-v1,L1,Square Root of 2,0,20
151008-v1,L1,Square Root of 3,0,21
151008-v1,L1,Square Root of 5,0,22
151008-v1,L1,Tau Mass (kg),0,23
151008-v1,L1,Muon Mass (kg),0,24
151008-v1,L1,Hubble Constant (km/s/Mpc),0,25
151008-v1,L1,Apéry’s Constant (zeta(3)),0,26
151008-v1,L1,Gravitational Constant (m^3 kg^-1 s^-2),0,27
151008-v1,L1,Astronomical Unit (m),0,28
151008-v1,L1,Avogadro Constant (1/mol),0,29
151008-v1,L1,Baryon-to-Photon Ratio,0,30
151008-v1,L1,Boltzmann Constant (J/K),0,31
151008-v1,L1,Cosmic Microwave Background Temp (K),0,32
151008-v1,L1,Coulomb Constant (N m^2 C^-2),0,33
151008-v1,L1,Critical Density (kg/m^3),0,34
151008-v1,L1,Earth Mass (kg),0,35
151008-v1,L1,Earth Radius (m),0,36
151008-v1,L1,Electron Mass (kg),0,37
151008-v1,L1,Elementary Charge (C),0,38
151008-v1,L1,Euler–Mascheroni Constant,0,39
151008-v1,L1,Euler’s Number,0,40
151008-v1,L1,Feigenbaum Alpha,0,41
151008-v1,L1,Feigenbaum Delta,0,42
151008-v1,L1,Fine-Structure Constant,0,43
151008-v1,L1,Gas Constant R (J/(mol·K)),0,44
151008-v1,L1,Golden Ratio,0,45
151008-v1,L1,Golden Ratio Conjugate,0,46
151008-v1,L1,Two Pi,0,47
151012.2-v1,H1,Golden Ratio Conjugate,100,1
151012.2-v1,H1,Catalan’s Constant,76,2
151012.2-v1,H1,Euler–Mascheroni Constant,44,3
151012.2-v1,H1,Golden Ratio,43,4
151012.2-v1,H1,Apéry’s Constant (zeta(3)),23,5
151012.2-v1,H1,Plastic Constant,7,6
151012.2-v1,H1,Absolute Zero (K),5,7
151012.2-v1,H1,Reduced Planck Constant (J·s),5,8
151012.2-v1,H1,Planck Length (m),5,9
151012.2-v1,H1,Planck Mass (kg),5,10
151012.2-v1,H1,Neutron Mass (kg),5,11
151012.2-v1,H1,Muon Mass (kg),5,12
151012.2-v1,H1,Planck Time (s),5,13
151012.2-v1,H1,Gravitational Constant (m^3 kg^-1 s^-2),5,14
151012.2-v1,H1,Fine-Structure Constant,5,15
151012.2-v1,H1,Proton Mass (kg),5,16
151012.2-v1,H1,Planck Charge (C),5,17
151012.2-v1,H1,Planck Constant (J·s),5,18
151012.2-v1,H1,Elementary Charge (C),5,19
151012.2-v1,H1,Electron Mass (kg),5,20
151012.2-v1,H1,Critical Density (kg/m^3),5,21
151012.2-v1,H1,Boltzmann Constant (J/K),5,22
151012.2-v1,H1,Baryon-to-Photon Ratio,5,23
151012.2-v1,H1,Tau Mass (kg),5,24
151012.2-v1,H1,Square Root of 2,1,25
151012.2-v1,H1,Solar Radius (m),0,26
151012.2-v1,H1,Speed of Light (m/s),0,27
151012.2-v1,H1,Square Root of 3,0,28
151012.2-v1,H1,Planck Temperature (K),0,29
151012.2-v1,H1,Square Root of 5,0,30
151012.2-v1,H1,Solar Mass (kg),0,31
151012.2-v1,H1,Hubble Constant (km/s/Mpc),0,32
151012.2-v1,H1,Pi,0,33
151012.2-v1,H1,Phi Squared,0,34
151012.2-v1,H1,Parsec (m),0,35
151012.2-v1,H1,Khinchin’s Constant,0,36
151012.2-v1,H1,Gas Constant R (J/(mol·K)),0,37
151012.2-v1,H1,Feigenbaum Delta,0,38
151012.2-v1,H1,Feigenbaum Alpha,0,39
151012.2-v1,H1,Euler’s Number,0,40
151012.2-v1,H1,Earth Radius (m),0,41
151012.2-v1,H1,Earth Mass (kg),0,42
151012.2-v1,H1,Coulomb Constant (N m^2 C^-2),0,43
151012.2-v1,H1,Cosmic Microwave Background Temp (K),0,44
151012.2-v1,H1,Avogadro Constant (1/mol),0,45
151012.2-v1,H1,Astronomical Unit (m),0,46
151012.2-v1,H1,Two Pi,0,47
151012.2-v1,L1,Catalan’s Constant,37,1
151012.2-v1,L1,Apéry’s Constant (zeta(3)),9,2
151012.2-v1,L1,Absolute Zero (K),7,3
151012.2-v1,L1,Reduced Planck Constant (J·s),7,4
151012.2-v1,L1,Planck Charge (C),7,5
151012.2-v1,L1,Planck Mass (kg),7,6
151012.2-v1,L1,Neutron Mass (kg),7,7
151012.2-v1,L1,Muon Mass (kg),7,8
151012.2-v1,L1,Planck Time (s),7,9
151012.2-v1,L1,Gravitational Constant (m^3 kg^-1 s^-2),7,10
151012.2-v1,L1,Fine-Structure Constant,7,11
151012.2-v1,L1,Proton Mass (kg),7,12
151012.2-v1,L1,Planck Length (m),7,13
151012.2-v1,L1,Planck Constant (J·s),7,14
151012.2-v1,L1,Boltzmann Constant (J/K),7,15
151012.2-v1,L1,Electron Mass (kg),7,16
151012.2-v1,L1,Tau Mass (kg),7,17
151012.2-v1,L1,Baryon-to-Photon Ratio,7,18
151012.2-v1,L1,Critical Density (kg/m^3),7,19
151012.2-v1,L1,Elementary Charge (C),7,20
151012.2-v1,L1,Plastic Constant,3,21
151012.2-v1,L1,Square Root of 2,2,22
151012.2-v1,L1,Pi,2,23
151012.2-v1,L1,Golden Ratio Conjugate,2,24
151012.2-v1,L1,Feigenbaum Alpha,1,25
151012.2-v1,L1,Square Root of 3,1,26
151012.2-v1,L1,Golden Ratio,1,27
151012.2-v1,L1,Planck Temperature (K),0,28
151012.2-v1,L1,Square Root of 5,0,29
151012.2-v1,L1,Speed of Light (m/s),0,30
151012.2-v1,L1,Solar Radius (m),0,31
151012.2-v1,L1,Solar Mass (kg),0,32
151012.2-v1,L1,Hubble Constant (km/s/Mpc),0,33
151012.2-v1,L1,Phi Squared,0,34
151012.2-v1,L1,Parsec (m),0,35
151012.2-v1,L1,Khinchin’s Constant,0,36
151012.2-v1,L1,Gas Constant R (J/(mol·K)),0,37
151012.2-v1,L1,Feigenbaum Delta,0,38
151012.2-v1,L1,Euler’s Number,0,39
151012.2-v1,L1,Euler–Mascheroni Constant,0,40
151012.2-v1,L1,Earth Radius (m),0,41
151012.2-v1,L1,Earth Mass (kg),0,42
151012.2-v1,L1,Coulomb Constant (N m^2 C^-2),0,43
151012.2-v1,L1,Cosmic Microwave Background Temp (K),0,44
151012.2-v1,L1,Avogadro Constant (1/mol),0,45
151012.2-v1,L1,Astronomical Unit (m),0,46
151012.2-v1,L1,Two Pi,0,47
151116-v1,H1,Catalan’s Constant,59,1
151116-v1,H1,Golden Ratio Conjugate,58,2
151116-v1,H1,Apéry’s Constant (zeta(3)),48,3
151116-v1,H1,Euler–Mascheroni Constant,39,4
151116-v1,H1,Golden Ratio,37,5
151116-v1,H1,Plastic Constant,10,6
151116-v1,H1,Absolute Zero (K),9,7
151116-v1,H1,Planck Length (m),9,8
151116-v1,H1,Planck Charge (C),9,9
151116-v1,H1,Planck Mass (kg),9,10
