Event,Detector,Constant,ObservedCount,ExpectedPerSegment,StdPerSegment,ZScore,ChiSquareApprox,PValueApprox
151008-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
151008-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
151008-v1,H1,Golden Ratio,1,32.6117,5.6470455204469525,-5.597918395653024,31.336690364390527,2.169408179672267e-08
151008-v1,H1,Golden Ratio,22,32.6117,5.6470455204469525,-1.879159635171509,3.5312409344579185,0.060222699341931626
151008-v1,H1,Golden Ratio,1,32.6117,5.6470455204469525,-5.597918395653024,31.336690364390527,2.169408179672267e-08
151008-v1,H1,Golden Ratio,27,32.6117,5.6470455204469525,-0.9937408826759101,0.9875209419014969,0.32034903368657086
151012.2-v1,H1,Golden Ratio,3,32.6117,5.6470455204469525,-5.243750894654784,27.496923445192852,1.573446008836481e-07
151012.2-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
151012.2-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
151012.2-v1,H1,Golden Ratio,19,32.6117,5.6470455204469525,-2.4104108866688683,5.8100806425717995,0.015934563504189026
151012.2-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
151012.2-v1,H1,Golden Ratio,21,32.6117,5.6470455204469525,-2.0562433856706286,4.228136861114209,0.03975906227941736
151116-v1,H1,Golden Ratio,1,32.6117,5.6470455204469525,-5.597918395653024,31.336690364390527,2.169408179672267e-08
151116-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
151116-v1,H1,Golden Ratio,1,32.6117,5.6470455204469525,-5.597918395653024,31.336690364390527,2.169408179672267e-08
151116-v1,H1,Golden Ratio,14,32.6117,5.6470455204469525,-3.295829639164467,10.862493010394981,0.0009813150297799463
151116-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
151116-v1,H1,Golden Ratio,21,32.6117,5.6470455204469525,-2.0562433856706286,4.228136861114209,0.03975906227941736
161202-v1,H1,Golden Ratio,1,32.6117,5.6470455204469525,-5.597918395653024,31.336690364390527,2.169408179672267e-08
161202-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
161202-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
161202-v1,H1,Golden Ratio,13,32.6117,5.6470455204469525,-3.472913389663587,12.061127412104625,0.0005148414684023837
161202-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
161202-v1,H1,Golden Ratio,30,32.6117,5.6470455204469525,-0.4624896311785509,0.21389665894767204,0.643730236306597
161217-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
161217-v1,H1,Golden Ratio,0,32.6117,5.6470455204469525,-5.7750021461521435,33.350649788061865,7.695210424586421e-09
