CandidateValue,BaseName,BaseValue,N_multiple,Approx_N_times_Base,AbsError,RelError,Ratio,Ratio_p,Ratio_q,RatioApprox
-1980.2137929267717,GoldenRatio_phi,1.61803398875,-20,-32.360679775,1947.8531131517716,0.9836579868847541,-1223.8394290200115,-68535,56,-1223.8392857142858
-1980.2137929267717,PhiSquared,2.618033988750235,-20,-52.3606797750047,1927.853113151767,0.973558067334934,-756.3743639065824,-6051,8,-756.375
-1980.2137929267717,Pi,3.141592653589793,-20,-62.83185307179586,1917.3819398549758,0.9682701669404444,-630.3216270460931,-17649,28,-630.3214285714286
-1980.2137929267717,Euler_e,2.718281828459045,-20,-54.3656365691809,1925.8481563575908,0.972545572218832,-728.479943541883,-18212,25,-728.48
-1980.2137929267717,Sqrt2,1.4142135623730951,-20,-28.284271247461902,1951.9295216793098,0.9857165567937705,-1400.222601177654,-12602,9,-1400.2222222222222
-1980.2137929267717,Sqrt3,1.7320508075688772,-20,-34.64101615137754,1945.5727767753942,0.9825064261873574,-1143.2769663992815,-53734,47,-1143.276595744681
-1980.2137929267717,OneHalf,0.5,-20,-10.0,1970.2137929267717,0.994950040225091,-3960.4275858535434,-27723,7,-3960.4285714285716
-1980.2137929267717,One,1.0,-20,-20.0,1960.2137929267717,0.9899000804501822,-1980.2137929267717,-27723,14,-1980.2142857142858
-1980.2137929267717,ThreeHalves,1.5,-20,-30.0,1950.2137929267717,0.9848501206752732,-1320.1425286178478,-9241,7,-1320.142857142857
-1980.2137929267717,Two,2.0,-20,-40.0,1940.2137929267717,0.9798001609003644,-990.1068964633859,-27723,28,-990.1071428571429
-1980.2137929267717,Three,3.0,-20,-60.0,1920.2137929267717,0.9697002413505466,-660.0712643089239,-9241,14,-660.0714285714286
-1780.1196011008726,GoldenRatio_phi,1.61803398875,-20,-32.360679775,1747.7589213258725,0.9818210642953499,-1100.1744175201725,-69311,63,-1100.1746031746031
-1780.1196011008726,PhiSquared,2.618033988750235,-20,-52.3606797750047,1727.758921325868,0.9705858641505754,-679.9451835805403,-37397,55,-679.9454545454546
-1780.1196011008726,Pi,3.141592653589793,-20,-62.83185307179586,1717.2877480290767,0.9647035777635733,-566.6296676199536,-15299,27,-566.6296296296297
-1780.1196011008726,Euler_e,2.718281828459045,-20,-54.3656365691809,1725.7539645316917,0.9694595596073659,-654.8694040713199,-15062,23,-654.8695652173913
-1780.1196011008726,Sqrt2,1.4142135623730951,-20,-28.284271247461902,1751.8353298534107,0.9841110275792873,-1258.7346412615188,-61678,49,-1258.734693877551
-1780.1196011008726,Sqrt3,1.7320508075688772,-20,-34.64101615137754,1745.4785849494951,0.9805400625160497,-1027.752530885318,-62693,61,-1027.7540983606557
-1780.1196011008726,OneHalf,0.5,-20,-10.0,1770.1196011008726,0.994382399927614,-3560.2392022017452,-163771,46,-3560.2391304347825
-1780.1196011008726,One,1.0,-20,-20.0,1760.1196011008726,0.988764799855228,-1780.1196011008726,-44503,25,-1780.12
-1780.1196011008726,ThreeHalves,1.5,-20,-30.0,1750.1196011008726,0.983147199782842,-1186.7464007339152,-74765,63,-1186.7460317460318
-1780.1196011008726,Two,2.0,-20,-40.0,1740.1196011008726,0.977529599710456,-890.0598005504363,-44503,50,-890.06
-1780.1196011008726,Three,3.0,-20,-60.0,1720.1196011008726,0.966294399565684,-593.3732003669576,-35009,59,-593.3728813559322
-1647.0155412379765,GoldenRatio_phi,1.61803398875,-20,-32.360679775,1614.6548614629764,0.9803519280997942,-1017.9115844843075,-34609,34,-1017.9117647058823
-1647.0155412379765,PhiSquared,2.618033988750235,-20,-52.3606797750047,1594.654861462972,0.9682087518520633,-629.1039567535212,-30197,48,-629.1041666666666
-1647.0155412379765,Pi,3.141592653589793,-20,-62.83185307179586,1584.1836881661807,0.9618510867088914,-524.2613294743948,-12058,23,-524.2608695652174
-1647.0155412379765,Euler_e,2.718281828459045,-20,-54.3656365691809,1592.6499046687957,0.9669914246660253,-605.9031569113074,-18783,31,-605.9032258064516
-1647.0155412379765,Sqrt2,1.4142135623730951,-20,-28.284271247461902,1618.7312699905146,0.9828269554601762,-1164.615857929005,-15140,13,-1164.6153846153845
-1647.0155412379765,Sqrt3,1.7320508075688772,-20,-34.64101615137754,1612.374525086599,0.9789674017736715,-950.904866093243,-19969,21,-950.9047619047619
-1647.0155412379765,OneHalf,0.5,-20,-10.0,1637.0155412379765,0.993928411876136,-3294.031082475953,-105409,32,-3294.03125
-1647.0155412379765,One,1.0,-20,-20.0,1627.0155412379765,0.9878568237522719,-1647.0155412379765,-105409,64,-1647.015625
-1647.0155412379765,ThreeHalves,1.5,-20,-30.0,1617.0155412379765,0.9817852356284079,-1098.0103608253178,-70273,64,-1098.015625
-1647.0155412379765,Two,2.0,-20,-40.0,1607.0155412379765,0.9757136475045438,-823.5077706189883,-51881,63,-823.5079365079365
-1647.0155412379765,Three,3.0,-20,-60.0,1587.0155412379765,0.9635704712568157,-549.0051804126589,-549,1,-549.0
-1441.9659511005527,GoldenRatio_phi,1.61803398875,-20,-32.360679775,1409.6052713255526,0.9775579445892593,-891.1839684001526,-33865,38,-891.1842105263158
-1441.9659511005527,PhiSquared,2.618033988750235,-20,-52.3606797750047,1389.605271325548,0.9636879915680108,-550.7819827002708,-30293,55,-550.7818181818182
-1441.9659511005527,Pi,3.141592653589793,-20,-62.83185307179586,1379.1340980287569,0.9564262574828202,-458.9920177757184,-29375,64,-458.984375
-1441.9659511005527,Euler_e,2.718281828459045,-20,-54.3656365691809,1387.6003145313719,0.9622975587407682,-530.4696282791186,-25993,49,-530.469387755102
-1441.9659511005527,Sqrt2,1.4142135623730951,-20,-28.284271247461902,1413.6816798530908,0.9803849243278772,-1019.6239022633104,-62197,61,-1019.6229508196722
-1441.9659511005527,Sqrt3,1.7320508075688772,-20,-34.64101615137754,1407.3249349491753,0.9759765366686097,-832.5194300301789,-43291,52,-832.5192307692307
-1441.9659511005527,OneHalf,0.5,-20,-10.0,1431.9659511005527,0.9930650234893773,-2883.9319022011055,-126893,44,-2883.931818181818
-1441.9659511005527,One,1.0,-20,-20.0,1421.9659511005527,0.9861300469787547,-1441.9659511005527,-85076,59,-1441.9661016949153
-1441.9659511005527,ThreeHalves,1.5,-20,-30.0,1411.9659511005527,0.979195070468132,-961.3106340670352,-27878,29,-961.3103448275862
-1441.9659511005527,Two,2.0,-20,-40.0,1401.9659511005527,0.9722600939575093,-720.9829755502764,-42538,59,-720.9830508474577
-1441.9659511005527,Three,3.0,-20,-60.0,1381.9659511005527,0.9583901409362641,-480.6553170335176,-13939,29,-480.6551724137931
-1073.1450381632978,GoldenRatio_phi,1.61803398875,-20,-32.360679775,1040.7843583882977,0.969845008247547,-663.240108443178,-16581,25,-663.24
-1073.1450381632978,PhiSquared,2.618033988750235,-20,-52.3606797750047,1020.7843583882932,0.9512081984140554,-409.90492972002346,-8608,21,-409.9047619047619
-1073.1450381632978,Pi,3.141592653589793,-20,-62.83185307179586,1010.313185091502,0.9414507351407658,-341.59267495645906,-9223,27,-341.5925925925926
-1073.1450381632978,Euler_e,2.718281828459045,-20,-54.3656365691809,1018.779401594117,0.9493398984891843,-394.78799693542015,-13028,33,-394.7878787878788
-1073.1450381632978,Sqrt2,1.4142135623730951,-20,-28.284271247461902,1044.860766915836,0.9736435707741138,-758.8281336819642,-48565,64,-758.828125
-1073.1450381632978,Sqrt3,1.7320508075688772,-20,-34.64101615137754,1038.5040220119204,0.9677200984774006,-619.5805766630913,-19207,31,-619.5806451612904
-1073.1450381632978,OneHalf,0.5,-20,-10.0,1063.1450381632978,0.9906815950832563,-2146.2900763265957,-66535,31,-2146.2903225806454
-1073.1450381632978,One,1.0,-20,-20.0,1053.1450381632978,0.9813631901665125,-1073.1450381632978,-66535,62,-1073.1451612903227
-1073.1450381632978,ThreeHalves,1.5,-20,-30.0,1043.1450381632978,0.9720447852497689,-715.4300254421986,-41495,58,-715.4310344827586
-1073.1450381632978,Two,2.0,-20,-40.0,1033.1450381632978,0.9627263803330252,-536.5725190816489,-3756,7,-536.5714285714286
-1073.1450381632978,Three,3.0,-20,-60.0,1013.1450381632978,0.9440895704995377,-357.7150127210993,-2504,7,-357.7142857142857
-1011.5752087700648,GoldenRatio_phi,1.61803398875,-20,-32.360679775,979.2145289950648,0.9680096156030296,-625.1878611966301,-10003,16,-625.1875
-1011.5752087700648,PhiSquared,2.618033988750235,-20,-52.3606797750047,959.2145289950602,0.9482384707325242,-386.38734757334385,-11978,31,-386.38709677419354
-1011.5752087700648,Pi,3.141592653589793,-20,-62.83185307179586,948.7433556982689,0.9378871165217753,-321.9943895699436,-322,1,-322.0
-1011.5752087700648,Euler_e,2.718281828459045,-20,-54.3656365691809,957.2095722008839,0.9462564561706865,-372.1377225052166,-10792,29,-372.13793103448273
-1011.5752087700648,Sqrt2,1.4142135623730951,-20,-28.284271247461902,983.2909375226029,0.9720393787804946,-715.2916898015103,-17167,24,-715.2916666666666
-1011.5752087700648,Sqrt3,1.7320508075688772,-20,-34.64101615137754,976.9341926186872,0.9657553725604878,-584.0332190889488,-17521,30,-584.0333333333333
-1011.5752087700648,OneHalf,0.5,-20,-10.0,1001.5752087700648,0.9901144275647497,-2023.1504175401296,-40463,20,-2023.15
-1011.5752087700648,One,1.0,-20,-20.0,991.5752087700648,0.9802288551294992,-1011.5752087700648,-40463,40,-1011.575
-1011.5752087700648,ThreeHalves,1.5,-20,-30.0,981.5752087700648,0.9703432826942489,-674.3834725133765,-40463,60,-674.3833333333333
-1011.5752087700648,Two,2.0,-20,-40.0,971.5752087700648,0.9604577102589985,-505.7876043850324,-16691,33,-505.7878787878788
-1011.5752087700648,Three,3.0,-20,-60.0,951.5752087700648,0.9406865653884977,-337.1917362566883,-15848,47,-337.1914893617021
-980.6742716796182,GoldenRatio_phi,1.61803398875,-20,-32.360679775,948.3135919046182,0.967001602153205,-606.0900317905131,-33941,56,-606.0892857142857
-980.6742716796182,PhiSquared,2.618033988750235,-20,-52.3606797750047,928.3135919046135,0.9466074707095908,-374.58423988901706,-19853,53,-374.58490566037733
-980.6742716796182,Pi,3.141592653589793,-20,-62.83185307179586,917.8424186078223,0.9359299464804123,-312.15831580171107,-19666,63,-312.1587301587302
-980.6742716796182,Euler_e,2.718281828459045,-20,-54.3656365691809,926.3086351104373,0.9445630030896315,-360.76990303670914,-22007,61,-360.7704918032787
-980.6742716796182,Sqrt2,1.4142135623730951,-20,-28.284271247461902,952.3900004321563,0.9711583427196281,-693.4414276398365,-23577,34,-693.4411764705883
