Event,Detector,WindowType,Domain,RatioCategory,RatioValue
151012.2-v1,L1,ON,AMP_P2P,AMP,1.0638772117879098
151012.2-v1,L1,ON,AMP_P2P,AMP,0.8472760528301126
151012.2-v1,L1,ON,AMP_P2P,AMP,0.718698937606368
151012.2-v1,L1,ON,AMP_P2P,AMP,0.4581304720450285
151012.2-v1,L1,ON,AMP_P2P,AMP,0.37996176660513514
151012.2-v1,L1,ON,AMP_P2P,AMP,4.558143022588337
151012.2-v1,L1,ON,AMP_P2P,AMP,1.1334566231759584
151012.2-v1,L1,ON,AMP_P2P,AMP,1.0407494728901607
151012.2-v1,L1,ON,AMP_P2P,AMP,0.973997085837351
151012.2-v1,L1,ON,AMP_P2P,AMP,0.8136194404965238
151012.2-v1,L1,ON,AMP_P2P,AMP,0.38562799007397375
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.08167179094566852
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.10873465374576617
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.12078353828400613
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.12153898686904928
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.11188965094110918
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.09163406232430635
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.0643752664668868
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.050423210086480624
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.08413071189662977
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.11048573606547106
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.12968643451654008
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.14137838659806687
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.1457935979694832
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.13894926681988526
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.1226820420215414
151012.2-v1,L1,ON,AMP_P2D,AMP,-0.09009467713171902
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0990314571492452
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0837323237594776
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0699672026203884
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0572644815438217
151012.2-v1,L1,ON,AMP_D2D,AMP,1.045590359650514
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0345653068004994
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0230218351781148
151012.2-v1,L1,ON,AMP_D2D,AMP,1.01256874620095
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0050613917222282
151012.2-v1,L1,ON,AMP_D2D,AMP,0.9953789816058541
151012.2-v1,L1,ON,AMP_D2D,AMP,0.9846093108524373
151012.2-v1,L1,ON,AMP_D2D,AMP,0.9751711227768703
151012.2-v1,L1,ON,AMP_D2D,AMP,0.8588838686314748
151012.2-v1,L1,ON,AMP_D2D,AMP,0.8356015558683016
151012.2-v1,L1,ON,AMP_D2D,AMP,0.8091892624592059
151012.2-v1,L1,ON,AMP_D2D,AMP,0.7706699217115773
151012.2-v1,L1,ON,AMP_D2D,AMP,0.7234221726838661
151012.2-v1,L1,ON,AMP_D2D,AMP,0.5175038364190876
151012.2-v1,L1,ON,AMP_D2D,AMP,0.20792492050001116
151012.2-v1,L1,ON,AMP_D2D,AMP,1.9154466170700555
151012.2-v1,L1,ON,AMP_D2D,AMP,0.9971387379314108
151012.2-v1,L1,ON,AMP_D2D,AMP,15.105818293916581
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0438401984467212
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0334152043918092
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0239668485947633
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0141286032287575
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0053691300397696
151012.2-v1,L1,ON,AMP_D2D,AMP,0.9965413877647622
151012.2-v1,L1,ON,AMP_D2D,AMP,0.9870614348670561
151012.2-v1,L1,ON,AMP_D2D,AMP,0.9800576309967598
151012.2-v1,L1,ON,AMP_D2D,AMP,0.9716349921032561
151012.2-v1,L1,ON,AMP_D2D,AMP,1.2528421990831742
151012.2-v1,L1,ON,AMP_D2D,AMP,1.134267560206993
151012.2-v1,L1,ON,AMP_D2D,AMP,1.1126694157844188
151012.2-v1,L1,ON,AMP_D2D,AMP,1.092395359670839
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0755515344749407
151012.2-v1,L1,ON,AMP_D2D,AMP,1.0596303389522685
