Constant,MeanPerSegment,StdPerSegment
Golden Ratio,19.15175229357798,4.3171026060447755
Phi Squared,0.8404357798165137,0.9159257576802773
Pi,0.19974770642201836,0.44675684602165483
Two Pi,0.018623853211009175,0.13580185167096528
Euler’s Number,0.31603669724770644,0.5618871205749343
Euler–Mascheroni Constant,21.33469266055046,4.55798262322443
Square Root of 2,3.221211009174312,1.7897597607910085
Square Root of 3,1.3270917431192661,1.1485539295992502
Square Root of 5,0.49677064220183487,0.7034571462209424
Golden Ratio Conjugate,33.05040366972477,5.626176600481275
Plastic Constant,7.269504587155963,2.682842244124632
Apéry’s Constant (zeta(3)),23.965747706422018,4.80964495348147
Catalan’s Constant,53.01535321100918,7.012985207928085
Feigenbaum Delta,0.10522018348623853,0.32408275242338186
Feigenbaum Alpha,0.5181100917431193,0.7197046455808339
Khinchin’s Constant,0.8767706422018349,0.9369273579101557
Planck Length (m),6.495293577981651,2.535456069944677
Planck Time (s),6.495293577981651,2.535456069944677
Planck Mass (kg),6.495293577981651,2.535456069944677
Planck Charge (C),6.495293577981651,2.535456069944677
Planck Temperature (K),0.0,0.0
Absolute Zero (K),6.495293577981651,2.535456069944677
Cosmic Microwave Background Temp (K),0.2928165137614679,0.5410843286738861
Boltzmann Constant (J/K),6.495293577981651,2.535456069944677
Avogadro Constant (1/mol),0.0,0.0
Gas Constant R (J/(mol·K)),0.009380733944954128,0.09696817786638759
Fine-Structure Constant,6.236412844036697,2.485449172891631
Gravitational Constant (m^3 kg^-1 s^-2),6.495293577981651,2.535456069944677
Coulomb Constant (N m^2 C^-2),0.0,0.0
Planck Constant (J·s),6.495293577981651,2.535456069944677
Reduced Planck Constant (J·s),6.495293577981651,2.535456069944677
Electron Mass (kg),6.495293577981651,2.535456069944677
Proton Mass (kg),6.495293577981651,2.535456069944677
Neutron Mass (kg),6.495293577981651,2.535456069944677
Muon Mass (kg),6.495293577981651,2.535456069944677
Tau Mass (kg),6.495293577981651,2.535456069944677
Elementary Charge (C),6.495293577981651,2.535456069944677
Speed of Light (m/s),0.0,0.0
Hubble Constant (km/s/Mpc),0.0,0.0
Critical Density (kg/m^3),6.495293577981651,2.535456069944677
Baryon-to-Photon Ratio,6.495293577981651,2.535456069944677
Astronomical Unit (m),0.0,0.0
Parsec (m),0.0,0.0
Solar Mass (kg),0.0,0.0
Solar Radius (m),0.0,0.0
Earth Mass (kg),0.0,0.0
Earth Radius (m),0.0,0.0
