Event,Detector,WindowStart,WindowEnd,CenterRelToGPS,TotalMatches
151008-v1,H1,1128348574.0,1128348574.2,-0.40000009536743164,17
151008-v1,H1,1128348574.05,1128348574.25,-0.34999990463256836,15
151008-v1,H1,1128348574.1,1128348574.3,-0.3000001907348633,21
151008-v1,H1,1128348574.1499999,1128348574.35,-0.25,24
151008-v1,H1,1128348574.1999998,1128348574.3999999,-0.20000028610229492,40
151008-v1,H1,1128348574.2499998,1128348574.4499998,-0.15000009536743164,43
151008-v1,H1,1128348574.2999997,1128348574.4999998,-0.10000038146972656,48
151008-v1,H1,1128348574.3499997,1128348574.5499997,-0.05000019073486328,45
151008-v1,H1,1128348574.3999996,1128348574.5999997,-4.76837158203125e-07,37
151008-v1,H1,1128348574.4499996,1128348574.6499996,0.04999971389770508,34
151008-v1,H1,1128348574.4999995,1128348574.6999996,0.09999942779541016,29
151008-v1,H1,1128348574.5499995,1128348574.7499995,0.14999961853027344,30
151008-v1,H1,1128348574.5999994,1128348574.7999995,0.19999933242797852,26
151008-v1,H1,1128348574.6499994,1128348574.8499994,0.2499995231628418,26
151008-v1,H1,1128348574.6999993,1128348574.8999994,0.2999992370605469,22
151008-v1,H1,1128348574.7499993,1128348574.9499993,0.34999942779541016,20
151008-v1,H1,1128348574.7999992,1128348574.9999993,0.39999914169311523,16
151012.2-v1,H1,1128666661.7,1128666661.9,-0.39999985694885254,22
151012.2-v1,H1,1128666661.75,1128666661.95,-0.35000014305114746,25
151012.2-v1,H1,1128666661.8,1128666662.0,-0.2999999523162842,18
151012.2-v1,H1,1128666661.85,1128666662.05,-0.2500002384185791,28
151012.2-v1,H1,1128666661.8999999,1128666662.1,-0.20000004768371582,21
151012.2-v1,H1,1128666661.9499998,1128666662.1499999,-0.15000033378601074,21
151012.2-v1,H1,1128666661.9999998,1128666662.1999998,-0.10000014305114746,21
151012.2-v1,H1,1128666662.0499997,1128666662.2499998,-0.05000042915344238,17
151012.2-v1,H1,1128666662.0999997,1128666662.2999997,-2.384185791015625e-07,22
151012.2-v1,H1,1128666662.1499996,1128666662.3499997,0.04999947547912598,18
151012.2-v1,H1,1128666662.1999996,1128666662.3999996,0.09999966621398926,24
151012.2-v1,H1,1128666662.2499995,1128666662.4499996,0.14999938011169434,17
151012.2-v1,H1,1128666662.2999995,1128666662.4999995,0.19999957084655762,18
151012.2-v1,H1,1128666662.3499994,1128666662.5499995,0.2499992847442627,19
151012.2-v1,H1,1128666662.3999994,1128666662.5999994,0.299999475479126,18
151012.2-v1,H1,1128666662.4499993,1128666662.6499994,0.34999918937683105,22
151012.2-v1,H1,1128666662.4999993,1128666662.6999993,0.39999938011169434,27
151116-v1,H1,1131748925.2,1131748925.4,-0.39999985694885254,28
151116-v1,H1,1131748925.25,1131748925.45,-0.35000014305114746,34
151116-v1,H1,1131748925.3,1131748925.5,-0.2999999523162842,31
151116-v1,H1,1131748925.35,1131748925.55,-0.2500002384185791,28
151116-v1,H1,1131748925.3999999,1131748925.6,-0.20000004768371582,23
151116-v1,H1,1131748925.4499998,1131748925.6499999,-0.15000033378601074,27
151116-v1,H1,1131748925.4999998,1131748925.6999998,-0.10000014305114746,26
151116-v1,H1,1131748925.5499997,1131748925.7499998,-0.05000042915344238,21
151116-v1,H1,1131748925.5999997,1131748925.7999997,-2.384185791015625e-07,35
151116-v1,H1,1131748925.6499996,1131748925.8499997,0.04999947547912598,30
151116-v1,H1,1131748925.6999996,1131748925.8999996,0.09999966621398926,33
151116-v1,H1,1131748925.7499995,1131748925.9499996,0.14999938011169434,39
151116-v1,H1,1131748925.7999995,1131748925.9999995,0.19999957084655762,25
151116-v1,H1,1131748925.8499994,1131748926.0499995,0.2499992847442627,30
151116-v1,H1,1131748925.8999994,1131748926.0999994,0.299999475479126,28
151116-v1,H1,1131748925.9499993,1131748926.1499994,0.34999918937683105,27
151116-v1,H1,1131748925.9999993,1131748926.1999993,0.39999938011169434,24
161202-v1,H1,1164686041.4,1164686041.6000001,-0.40000009536743164,29
161202-v1,H1,1164686041.45,1164686041.65,-0.34999990463256836,22
161202-v1,H1,1164686041.5,1164686041.7,-0.3000001907348633,26
161202-v1,H1,1164686041.55,1164686041.75,-0.25,29
161202-v1,H1,1164686041.6,1164686041.8,-0.20000028610229492,29
161202-v1,H1,1164686041.6499999,1164686041.85,-0.15000009536743164,27
161202-v1,H1,1164686041.6999998,1164686041.8999999,-0.10000038146972656,23
161202-v1,H1,1164686041.7499998,1164686041.9499998,-0.05000019073486328,26
161202-v1,H1,1164686041.7999997,1164686041.9999998,-4.76837158203125e-07,32
161202-v1,H1,1164686041.8499997,1164686042.0499997,0.04999971389770508,26
161202-v1,H1,1164686041.8999996,1164686042.0999997,0.09999942779541016,25
161202-v1,H1,1164686041.9499996,1164686042.1499996,0.14999961853027344,22
161202-v1,H1,1164686041.9999995,1164686042.1999996,0.19999933242797852,16
161202-v1,H1,1164686042.0499995,1164686042.2499995,0.2499995231628418,23
161202-v1,H1,1164686042.0999994,1164686042.2999995,0.2999992370605469,34
161202-v1,H1,1164686042.1499994,1164686042.3499994,0.34999942779541016,28
161202-v1,H1,1164686042.1999993,1164686042.3999994,0.39999914169311523,32
161217-v1,H1,1165994200.9,1165994201.1000001,-0.40000009536743164,19
161217-v1,H1,1165994200.95,1165994201.15,-0.34999990463256836,19
161217-v1,H1,1165994201.0,1165994201.2,-0.3000001907348633,23
161217-v1,H1,1165994201.05,1165994201.25,-0.25,22
161217-v1,H1,1165994201.1,1165994201.3,-0.20000028610229492,23
161217-v1,H1,1165994201.1499999,1165994201.35,-0.15000009536743164,22
161217-v1,H1,1165994201.1999998,1165994201.3999999,-0.10000038146972656,18
161217-v1,H1,1165994201.2499998,1165994201.4499998,-0.05000019073486328,18
161217-v1,H1,1165994201.2999997,1165994201.4999998,-4.76837158203125e-07,17
161217-v1,H1,1165994201.3499997,1165994201.5499997,0.04999971389770508,20
161217-v1,H1,1165994201.3999996,1165994201.5999997,0.09999942779541016,18
161217-v1,H1,1165994201.4499996,1165994201.6499996,0.14999961853027344,21
161217-v1,H1,1165994201.4999995,1165994201.6999996,0.19999933242797852,19
161217-v1,H1,1165994201.5499995,1165994201.7499995,0.2499995231628418,22
161217-v1,H1,1165994201.5999994,1165994201.7999995,0.2999992370605469,28
161217-v1,H1,1165994201.6499994,1165994201.8499994,0.34999942779541016,31
161217-v1,H1,1165994201.6999993,1165994201.8999994,0.39999914169311523,32
170208-v1,H1,1170585583.3,1170585583.5,-0.39999985694885254,17
170208-v1,H1,1170585583.35,1170585583.55,-0.35000014305114746,13
170208-v1,H1,1170585583.3999999,1170585583.6,-0.2999999523162842,15
170208-v1,H1,1170585583.4499998,1170585583.6499999,-0.2500002384185791,14
170208-v1,H1,1170585583.4999998,1170585583.6999998,-0.20000004768371582,14
170208-v1,H1,1170585583.5499997,1170585583.7499998,-0.15000033378601074,15
170208-v1,H1,1170585583.5999997,1170585583.7999997,-0.10000014305114746,19
170208-v1,H1,1170585583.6499996,1170585583.8499997,-0.05000042915344238,25
170208-v1,H1,1170585583.6999996,1170585583.8999996,-2.384185791015625e-07,21
170208-v1,H1,1170585583.7499995,1170585583.9499996,0.04999947547912598,16
170208-v1,H1,1170585583.7999995,1170585583.9999995,0.09999966621398926,14
170208-v1,H1,1170585583.8499994,1170585584.0499995,0.14999938011169434,11
170208-v1,H1,1170585583.8999994,1170585584.0999994,0.19999957084655762,16
170208-v1,H1,1170585583.9499993,1170585584.1499994,0.2499992847442627,8
170208-v1,H1,1170585583.9999993,1170585584.1999993,0.299999475479126,5
170208-v1,H1,1170585584.0499992,1170585584.2499993,0.34999918937683105,9
170208-v1,H1,1170585584.0999992,1170585584.2999992,0.39999938011169434,19
170219-v1,H1,1171548266.5,1171548266.7,-0.40000009536743164,25
170219-v1,H1,1171548266.55,1171548266.75,-0.34999990463256836,26
170219-v1,H1,1171548266.6,1171548266.8,-0.3000001907348633,25
170219-v1,H1,1171548266.6499999,1171548266.85,-0.25,26
170219-v1,H1,1171548266.6999998,1171548266.8999999,-0.20000028610229492,25
170219-v1,H1,1171548266.7499998,1171548266.9499998,-0.15000009536743164,26
170219-v1,H1,1171548266.7999997,1171548266.9999998,-0.10000038146972656,23
170219-v1,H1,1171548266.8499997,1171548267.0499997,-0.05000019073486328,20
170219-v1,H1,1171548266.8999996,1171548267.0999997,-4.76837158203125e-07,24
170219-v1,H1,1171548266.9499996,1171548267.1499996,0.04999971389770508,24
170219-v1,H1,1171548266.9999995,1171548267.1999996,0.09999942779541016,24
170219-v1,H1,1171548267.0499995,1171548267.2499995,0.14999961853027344,25
170219-v1,H1,1171548267.0999994,1171548267.2999995,0.19999933242797852,25
170219-v1,H1,1171548267.1499994,1171548267.3499994,0.2499995231628418,27
170219-v1,H1,1171548267.1999993,1171548267.3999994,0.2999992370605469,23
170219-v1,H1,1171548267.2499993,1171548267.4499993,0.34999942779541016,25
170219-v1,H1,1171548267.2999992,1171548267.4999993,0.39999914169311523,24
170405-v1,H1,1175425510.2,1175425510.4,-0.39999985694885254,15
170405-v1,H1,1175425510.25,1175425510.45,-0.35000014305114746,16
170405-v1,H1,1175425510.3,1175425510.5,-0.2999999523162842,20
170405-v1,H1,1175425510.35,1175425510.55,-0.2500002384185791,20
170405-v1,H1,1175425510.3999999,1175425510.6,-0.20000004768371582,15
170405-v1,H1,1175425510.4499998,1175425510.6499999,-0.15000033378601074,24
170405-v1,H1,1175425510.4999998,1175425510.6999998,-0.10000014305114746,22
170405-v1,H1,1175425510.5499997,1175425510.7499998,-0.05000042915344238,19
170405-v1,H1,1175425510.5999997,1175425510.7999997,-2.384185791015625e-07,17
170405-v1,H1,1175425510.6499996,1175425510.8499997,0.04999947547912598,15
170405-v1,H1,1175425510.6999996,1175425510.8999996,0.09999966621398926,20
170405-v1,H1,1175425510.7499995,1175425510.9499996,0.14999938011169434,14
170405-v1,H1,1175425510.7999995,1175425510.9999995,0.19999957084655762,14
170405-v1,H1,1175425510.8499994,1175425511.0499995,0.2499992847442627,11
170405-v1,H1,1175425510.8999994,1175425511.0999994,0.299999475479126,10
170405-v1,H1,1175425510.9499993,1175425511.1499994,0.34999918937683105,15
170405-v1,H1,1175425510.9999993,1175425511.1999993,0.39999938011169434,13
170412-v1,H1,1176047816.5,1176047816.7,-0.40000009536743164,27
170412-v1,H1,1176047816.55,1176047816.75,-0.34999990463256836,22
170412-v1,H1,1176047816.6,1176047816.8,-0.3000001907348633,21
170412-v1,H1,1176047816.6499999,1176047816.85,-0.25,24
170412-v1,H1,1176047816.6999998,1176047816.8999999,-0.20000028610229492,22
170412-v1,H1,1176047816.7499998,1176047816.9499998,-0.15000009536743164,26
170412-v1,H1,1176047816.7999997,1176047816.9999998,-0.10000038146972656,22
170412-v1,H1,1176047816.8499997,1176047817.0499997,-0.05000019073486328,21
170412-v1,H1,1176047816.8999996,1176047817.0999997,-4.76837158203125e-07,14
170412-v1,H1,1176047816.9499996,1176047817.1499996,0.04999971389770508,19
170412-v1,H1,1176047816.9999995,1176047817.1999996,0.09999942779541016,18
170412-v1,H1,1176047817.0499995,1176047817.2499995,0.14999961853027344,16
170412-v1,H1,1176047817.0999994,1176047817.2999995,0.19999933242797852,18
170412-v1,H1,1176047817.1499994,1176047817.3499994,0.2499995231628418,19
170412-v1,H1,1176047817.1999993,1176047817.3999994,0.2999992370605469,15
170412-v1,H1,1176047817.2499993,1176047817.4499993,0.34999942779541016,16
170412-v1,H1,1176047817.2999992,1176047817.4999993,0.39999914169311523,21
170423-v1,H1,1176984662.5,1176984662.7,-0.40000009536743164,25
170423-v1,H1,1176984662.55,1176984662.75,-0.34999990463256836,22
170423-v1,H1,1176984662.6,1176984662.8,-0.3000001907348633,19
170423-v1,H1,1176984662.6499999,1176984662.85,-0.25,25
170423-v1,H1,1176984662.6999998,1176984662.8999999,-0.20000028610229492,16
170423-v1,H1,1176984662.7499998,1176984662.9499998,-0.15000009536743164,13
170423-v1,H1,1176984662.7999997,1176984662.9999998,-0.10000038146972656,18
170423-v1,H1,1176984662.8499997,1176984663.0499997,-0.05000019073486328,19
170423-v1,H1,1176984662.8999996,1176984663.0999997,-4.76837158203125e-07,17
170423-v1,H1,1176984662.9499996,1176984663.1499996,0.04999971389770508,23
170423-v1,H1,1176984662.9999995,1176984663.1999996,0.09999942779541016,25
170423-v1,H1,1176984663.0499995,1176984663.2499995,0.14999961853027344,25
170423-v1,H1,1176984663.0999994,1176984663.2999995,0.19999933242797852,35
170423-v1,H1,1176984663.1499994,1176984663.3499994,0.2499995231628418,29
170423-v1,H1,1176984663.1999993,1176984663.3999994,0.2999992370605469,27
170423-v1,H1,1176984663.2499993,1176984663.4499993,0.34999942779541016,30
170423-v1,H1,1176984663.2999992,1176984663.4999993,0.39999914169311523,24
