K,Center
3,-1073.1450381632978
3,0.6688169764944754
3,3574.884205322977
5,-1647.0155412379765
5,-518.62890439761
5,0.3842932121655978
5,69.5851805812399
5,3574.884205322977
8,-1780.1196011008726
8,-1011.5752087700648
8,-584.5484244582616
8,-260.73885459873185
8,-50.90097487078572
8,0.5707319948838827
8,69.69224118663647
8,3574.884205322977
12,-1980.2137929267717
12,-1441.9659511005527
12,-980.6742716796182
12,-618.2455392766104
12,-349.79669694269256
12,-166.1251741528758
12,-37.95430259557564
12,0.5661501669645915
12,53.09549307709891
12,141.99400111382175
12,827.1242974054827
12,3574.884205322977
